date,brand,name_product,old_price,new_price,detail,discount,%
19.08.2020,Arlo ,Pro ,940.0,769.0,3 VMS4440B Lot de 4  2560 x 1440 pixels  QHD / WQHD ,171.0,18.19
20.08.2020,Lenovo ,ThinkCentre ,1399.0,699.0,M920t  Intel Core i5-9400  16Go  512Go  SSD,700.0,50.04
21.08.2020,ASUS,VivoBook ,699.0,529.0,15 X512JA-EJ284T  15 60  Full HD  Intel Core i5-1035G1  8Go  512Go  SSD,170.0,24.32
22.08.2020,Pure ,Radio-reveil,149.0,119.0,DAB Siesta avec fonction de charge sans fil,30.0,20.13
23.08.2020,UE ,Double ,115.0,69.0,enceinte Wonderboom  Noir  Subzero Blue  10h,46.0,40.0
24.08.2020,Microsoft ,365 Famille ,82.0,65.0,12 Mt   6x  Android  iOS  Windows  Mac OS X  Windows Mobile  Allemand  Français  Italien,17.0,20.73
25.08.2020, Dell, U3419W ,861.0,729.0,34  3440 x 1440 Pixels,132.0,15.33
26.08.2020, Logitec, G,155.0,99.0,G910 Orion Spectrum,56.0,36.13
27.08.2020,Suunto ,9 Baro ,728.0,499.0,Titanium Edition Ambassador + bracelet silicone  50mm  Polyamide,229.0,31.46
28.08.2020,Leitz ,IQ ,96.0,79.0,Home Office  Coupe,17.0,17.71
29.08.2020,SKROSS ,Set ,89.0,55.0,complet  Multi  USB  Multi,34.0,38.2
30.08.2020,Netgear ,MK62,269.0,219.0,Nighthawk Mesh WiFi 6 System 2er Set,50.0,18.59
31.08.2020,LG ,HU80KSW ,2499.0,1799.0,Presto  4K  2500lm  4 k lasers  30dB,700.0,28.01
01.09.2020,Medion ,Erazer ,1499.0,1199.0,Engineer X10 MD34821  Intel Core i7-10700F  16Go  512Go  SSD,300.0,20.01
02.09.2020,Philips , Moniteur,579.0,399.0,B-line 345B1C + casque TAPH802,180.0,31.09
03.09.2020,PNY ,Pro ,34.0,20.0,Elite microSDXC  microSD  128Go  U3  UHS-I ,14.0,41.18
04.09.2020,Lexmark ,MC2425adw  ,310.0,249.0,WiFi  Laser/LED  Couleur  Impression recto verso,61.0,19.68
05.09.2020,Elecjet ,PowerPie ,79.0,59.0,P20 Powerbank  20000mAh  45W,20.0,25.32
06.09.2020,Netatmo ,NWS01-EC,162.0,119.0,,43.0,26.54
07.09.2020,HP ,250 ,799.0,549.0,G7  15 60  Full HD  Intel Core i7-8565U  8Go  256Go  SSD,250.0,31.29
08.09.2020,Lenovo ,ThinkCentre ,1199.0,799.0,M920q Tiny  Intel Core i5-9400T  16Go  512Go  SSD,400.0,33.36
09.09.2020, UE, Boom,109.0,69.0,2 Kool Savas Limited Edition,40.0,36.7
10.09.2020,Dell ,Server ,749.0,599.0,PowerEdge T140  Intel Xeon E-2124  8Go,150.0,20.03
11.09.2020,Desinfect, pro,79.0,59.0,Set Desinfektion + Screen Shine  100x ,20.0,25.32
12.09.2020,marantz ,SR7013  ,1399.0,999.0,9 2 canaux  FM  AM,400.0,28.59
13.09.2020,Microsoft ,Xbox,34.0,29.0,Game Pass Ultimate 3 mois,5.0,14.71
14.09.2020,ASUS ,GeForce ,630.0,499.0,RTX 2070S ROG Strix A8G Gaming  8Go ,131.0,20.79
15.09.2020,Acer ,Aspire ,519.0,399.0,3 A315-23-R8MQ  15 60  Full HD  AMD Ryzen 5 3500U  8Go  512Go  SSD,120.0,23.12
16.09.2020,ASUS ,RT-AX88U,329.0,259.0,Gaming,70.0,21.28
17.09.2020,Philips , Ligne,169.0,129.0,B 241B8QJEB,40.0,23.67
18.09.2020,digitec, connect ,300.0,180.0,Abonnement mobile 12 mois de frais de base,120.0,40.0
19.09.2020,JBL ,Casque ,85.0,49.0,sans fil LIVE 400BT  Noir,36.0,42.35
20.09.2020,Acer ,Aspire ,799.0,449.0,XC-886  Intel Core i5-9400  8Go  512Go  1To  SSD  HDD ,350.0,43.8
21.09.2020,Lenovo ,ThinkPad ,999.0,789.0,E15  15 60  Full HD  Intel Core i7-10510U  16Go  256Go  SSD,210.0,21.02
22.09.2020,Microsoft ,365 ,82.0,65.0,Famille  12 Mt   6x  Android  iOS  Windows  Mac OS X  Windows Mobile  Allemand  Francais  Italien,17.0,20.73
23.09.2020, Acer, RT240Y,165.0,99.0,,66.0,40.0
24.09.2020,Klipsch ,R-28F ,648.0,399.0,1 paire  Placage en poly noir ,249.0,38.43
25.09.2020,Anda, seaT ,289.0,209.0,Dark Demon Black,80.0,27.68
26.09.2020,Lenovo ,horloge,109.0,75.0, intelligente,34.0,31.19
27.09.2020,Lenovo ,ThinkCentre ,899.0,649.0,V530S-07ICR  Intel Core i5-9400  16Go  512Go  SSD,250.0,27.81
28.09.2020, Sony, WH-1000XM3,248.0,179.0,,69.0,27.82
29.09.2020, Samsung, Onglet,590.0,499.0,Galaxie S6,91.0,15.42
30.09.2020,ASUS ,ZenBook  ,959.0,759.0,14 UM431DA-AM067T  14  Full HD  AMD Ryzen 7 3700U  8Go  1000Go  SSD,200.0,20.86
01.10.2020,Sony ,Kit ,999.0,799.0,Alpha 6400  16-50mm  24 20Mpx  APS-C DX,200.0,20.02
02.10.2020,SumUp ,Air ,101.0,79.0,Bundle  Scanner USB  Kit de support ,22.0,21.78
03.10.2020,Devolo ,Recepteur,89.0,74.0,ac ,15.0,16.85
04.10.2020,Philips ,Wake ,149.0,99.0,up Light Relax Breath HF3651 01 ,50.0,33.56
05.10.2020, Dell, U2719D,374.0,299.0,,75.0,20.05
06.10.2020, Lenovo, V15,599.0,449.0,15.60 Full HD Intel Core i5 8265U 8Go 256Go SSD,150.0,25.04
07.10.2020, Dji, Osmo,269.0,199.0,Action 60p 4k,70.0,26.02
08.10.2020, HP, 477dw,467.0,309.0,PageWide Pro,158.0,33.83
09.10.2020,Varta,LCD ,50.9,35.0,Plug Charger+ incl  4x AA & 4x AAA  Piles rechargeables + chargeur  8pcs  AA  AAA  1000mAh,15.9,31.24
10.10.2020,Tp-Link,Archer ,99.0,25.0,MR600,74.0,74.75
11.10.2020,HP,PC ,799.0,499.0,ProDesk 600 G5 SFF  Intel Core i5 9500  8Go  256Go  SSD,300.0,37.55
12.10.2020,OnePlus,8,899.0,799.0, Pro  8 Go   128Go  Onyx Black  6 78  Double carte SIM  48Mpx  5G,100.0,11.12
13.10.2020,Samsung,A+,199.0,139.0,,60.0,30.15
14.10.2020,Aukey,Powerbank,64.0,35.0,PB XD13  20000mAh  18W,29.0,45.31
15.10.2020,Epson,ET ,289.0,219.0,L5190 EcoTank  WiFi  Reservoir d encre  Couleur,70.0,24.22
16.10.2020,Aukey,Webcam,89.0,59.0,Pro 1080 w ClipOn base,30.0,33.71
17.10.2020,BlueLounge,CableBox ,43.9,29.0,Large  39 80cm,14.9,33.94
18.10.2020,Xtorm,Chargeur ,145.0,88.0,solaire 10'000mAh 21W,57.0,39.31
19.10.2020,BenQ, type,169.0,129.0, A,40.0,23.67
20.10.2020,Samsung,Galaxy ,749.0,549.0,Note 10  256Go  Aura Glow  6 30  Double carte SIM  16Mpx  4G,200.0,26.7
21.10.2020,Acer,Predator,1699.0,1399.0,Orion 3000 PO3 620  Intel Core i7 10700  16Go  512Go  1To  SSD  HDD,300.0,17.66
22.10.2020,LaCie,USB ,174.0,139.0,C robuste  5To,35.0,20.11
23.10.2020,Sony,Cyber ,499.0,379.0,shot DSC RX100 III  24 70mm  20 10Mpx  1,120.0,24.05
24.10.2020,Google,Nid,201.0,169.0,de routeur WiFi,32.0,15.92
25.10.2020,Samsung, Evo,86.1,79.0,microSDXC 512GB U3 UHS-I,7.1,8.25
26.10.2020,HP,EliteBook ,949.0,699.0,830 G6  13 30  Full HD  Intel Core i5 8265U  16Go  256Go  SSD,250.0,26.34
27.10.2020,Microsoft,office,61.0,49.0,365,12.0,19.67
28.10.2020,Ubiquiti,UniFi ,379.0,329.0,UAP-AC-Lite-5 - 5er-Set,50.0,13.19
29.10.2020, Jabra, Evolve,265.0,189.0, UC Duo 75,76.0,28.68
30.10.2020,Nikon,Z,1663.0,1449.0,5 Kit,214.0,12.87
01.11.2020,Hama, Universal,99.9,60.0, Power Pack Powerbank 26800mAh 60W9,39.9,39.94
02.11.2020, HP, Envy13 ,1259.0,959.0,13.30 full hd i7-10510U 16go 512 ssd,300.0,23.83
03.11.2020, Lenovo, ThinkCentre ,999.0,699.0,m920t i-5-9400 16 go 512 ssd,300.0,30.03
04.11.2020, Denver, Frameo ,90.6,69.0,PFF-1010,21.6,23.84
05.11.2020,Synology, DS420,509.0,429.0,,80.0,15.72
06.11.2020,Netgear, Set ,587.0,419.0,Wifi mesh RBK53S Orbi Armor,168.0,28.62
07.11.2020,Joby,Influencer,179.0,129.0, Social Media Premium Vlogging Starter Kit,50.0,27.93
08.11.2020,Philips,Hue ,141.0,119.0,Being Basic BT,22.0,15.6
09.11.2020,AOC,G12VXA,189.0,129.0,24 inch,60.0,31.75
10.11.2020,Brother,P Touch ,102.0,79.0,Cube Plus (180dpi),23.0,22.55
12.11.2020,Lexmar,MC2535adwe ,457.0,319.0,WiFi LaserLED Couleur Impression recto verso,138.0,30.2
13.11.2020,Alpine, EZI-DAB,145.0,99.0,BT,46.0,31.72
14.11.2020, Urbanista, London,149.0,99.0,,50.0,33.56
15.11.2020,OtterB,Batterie ,89.0,44.0,de secours exterieure + LifeProof cable A-C USB /Lanyard 04m 20000mAh 24W,45.0,50.56
16.11.2020, ASUS,ROG,1799.0,1349.0,G15CK-CH006T Intel Core i7 10700KF 16Go 1000Go 1To SSD HDD,450.0,25.01
17.11.2020, Samsung,Galaxy ,643.0,359.0,Note 10 Lite 128Go aura rouge 6.70 Double carte SIM 12Mpx 4G,284.0,44.17
18.11.2020, GoPro, Max ,454.0,379.0,60p full hd,75.0,16.52
19.11.2020, Acer, Aspire ,599.0,449.0,3  A3155659WP 15 60 Full HD Intel Core i5 1035G1 8Go 256Go SSD,150.0,25.04
20.11.2020,Ring,camera ,265.0,199.0,de projecteurs (1920 x 1080 pixels (Full HD)),66.0,24.91
21.11.2020,Zendure,SuperPort,99.0,79.0, 4 Charger 2x USB-C & 2x USB-A (100W Power Delivery),20.0,20.2
22.11.2020,Teufel,Airy,159.0,119.0,,40.0,25.16
23.11.2020,Sandis,Extreme ,409.0,299.0,Pro Type B (CFexpress type B 256Go),110.0,26.89
24.11.2020,Belkin ,boitier ,79.0,54.0,de desinfection UV avec recharche sans fil (10W),25.0,31.65
25.11.2020,Samsung,Galaxy ,762.0,599.0,S10+ 128Go Silver 640 Double SIM hybride 16Mpx 4G,163.0,21.39
26.11.2020,Reolink,Argus ,385.0,279.0,PT GO avec panneau solaire et memoire de 16 Go 1920 x 1080 pixels,106.0,27.53
28.11.2020,Panasonic, TX-55hzc2004,2399.0,1999.0,,400.0,16.67
29.11.2020,Acer,Nitro ,1699.0,1199.0,5 AN5155571US 1560 Full HD i7 10750H 16Go 1000Go SSD,500.0,29.43
01.12.2020, Ultimaker, 3,3784.0,2899.0,,885.0,23.39
02.12.2020, Bose, Headphones,349.0,249.0,700,100.0,28.65
03.12.2020,Xiaomi,Mi ,1499.0,1199.0,Laser 150,300.0,20.01
04.12.2020,Microsoft, Surface ,1094.0,899.0,Pro7 12 Core i5 10354G4,195.0,17.82
05.12.2020, tolino,  vision ,258.0,189.0,5  housse Origami  carte cadeau de 30 CHF,69.0,26.74
06.12.2020, HP, Sprocket,133.0,89.0,Select,44.0,33.08
07.12.2020, 4smarts, Powerbank ,159.0,89.0,VoltHub Graphene 100W 20000mAh 160W,70.0,44.03
08.12.2020, Raspberry, Pi,139.0,99.0,Kit Basic 4 8G HDMI  SD 16 Go incl,40.0,28.78
09.12.2020, Logitech, G ,159.0,89.0,G910 Orion Spectrum,70.0,44.03
10.12.2020, Seagate, Backup,118.0,99.0,Plus Portable Drive,19.0,16.1
11.12.2020, Asus, ZenBook,1199.0,999.0, Flip 14,200.0,16.68
12.12.2020, JBL, Boombox,319.0,249.0,,70.0,21.94
13.12.2020, Apple, Magic,448.0,359.0,Keyboard,89.0,19.87
14.12.2020, LG, OLED55BX,999.0,899.0,55 4k 2020,100.0,10.01
15.12.2020, Samsung, Galaxy,879.0,679.0,S20 5g 128go white 6 20,200.0,22.75
16.12.2020, Oculus, Rift,549.0,379.0,S,170.0,30.97
17.12.2020, Microsoft, 365,159.8,119.0,Family fur 24 mois,40.8,25.53
18.12.2020, AOC, C27G2U,269.0,199.0, full hd,70.0,26.02
19.12.2020, Lenovo, Ideapad ,799.0,579.0,IdeaPad S145-15IIL,220.0,27.53
20.12.2020, Philips, Hue ,78.6,69.0,e27 2x,9.6,12.21
21.12.2020, Arlo, Ultra ,1149.0,919.0,VMS5440 set de 4,230.0,20.02
22.12.2020, Sony, Xperia,1099.0,899.0,1 II 256go 6 50,200.0,18.2
23.12.2020, Joule, Force,1799.0,1399.0, Nuke RTX2070S II7 i7 10700f 16go 1000go ssd,400.0,22.23
24.12.2020, digitec, connect,300.0,180.0, abonnement mobile,120.0,40.0
25.12.2020,Tp-Link,Archer,128.0,99.0,MR400,29.0,22.66
26.12.2020,Ringc,Video ,229.0,149.0,Doorbell 3 (WiFi),80.0,34.93
27.12.2020, Energizer, Max,59.7,33.0, Alkaline set 40 AA + 20 AAA,26.7,44.72
28.12.2020, LG, OLED55GX6 ,1699.0,1499.0,55 4K OLED 2020,200.0,11.77
29.12.2020, Arlo, Pro ,1086.0,849.0,3 4er-Set + Video Doorbell,237.0,21.82
30.12.2020, Logitech, Craft,153.0,99.0,,54.0,35.29
31.12.2020, Asus, Vivo,949.0,699.0,Aio V27uak-ba1127,250.0,26.34
01.01.2021, Lifix, set ,89.0,89.0,3 ampoules,0.0,0.0
02.01.2021, Zendure, A8,153.0,99.0,SuperTank 27000mAh 100w,54.0,35.29
03.01.2021, Samsung, Odyssey ,1519.0,1099.0,G9 LC49G95TSSUXEN 49 5120 x 1440 pixels,420.0,27.65
12.01.2021, Samsung, Galaxy ,1121.0,849.0,S20 Ultra 5G,272.0,24.26
13.01.2021, Onyx, Boox ,779.0,679.0,Max3 13 3 pouces 64go,100.0,12.84
14.01.2021, Xtorm, SolarBooster ,194.0,129.0,21W + Outdoor Powerbank 10000 mAh,65.0,33.51
15.01.2021, Nuki, Barillet ,299.0,239.0,Smart Lock 2.0 CH + Keypad,60.0,20.07
16.01.2021, Urbanista, London,130.0,89.0,,41.0,31.54
17.01.2021, Acer, Nitro ,219.0,149.0,QG271bii 27 1920 x 1080 pixels,70.0,31.96
18.01.2021, Apple, MacBook ,1110.0,999.0,Air 2020 i5 16go 256ssd,111.0,10.0
19.01.2021, Samsung, 860,519.0,419.0, Evo Basic 4000go,100.0,19.27
20.01.2021, Samsung, Powerbank,79.9,49.0,EB-P5300XJ avec cable USB C-C,30.9,38.67
21.01.2021, TI, Nspire,152.0,119.0,CX II-T CAS,33.0,21.71
22.01.2021, Jabra, Evolve ,221.0,159.0,75 UC Duo (Sans fil),62.0,28.05
23.01.2021, ASUS, ROG,124.0,99.0,STRIX B450-F GAMING II,25.0,20.16
24.01.2021, ASUS, ROG,2199.0,1699.0,Zephyrus G14 GA401IV-HA168T 14 QHD AMD Ryzen 9 4900HS 16Go 1000Go SSD,500.0,22.74
25.01.2021, Nokia, 8.3,683.5,499.0,avec Power Earbuds BH-605 128Go Polar Night 6.81 Double SIM hybride 64Mpx 5G,184.5,26.99
26.01.2021, Samsung, T5 ,122.0,99.0,portable (1000Go),23.0,18.85
27.01.2021, Aukey, PA-T14 ,40.8,29.0,chargeur 42w,11.8,28.92
28.01.2021, Brother, ADS-2700W,329.0,259.0,,70.0,21.28
29.01.2021, Jabra, Speak ,99.0,79.0,4,20.0,20.2
30.01.2021, Bosign, Boite ,56.0,40.0,a cable XL Hideaway,16.0,28.57
31.01.2021, tolino, Shine,145.0,109.0,,36.0,24.83
01.02.2021, digitec, connect,300.0,180.0,Bon abo mobile pour 12 mois de frais de base,120.0,40.0
02.02.2021, Samsung, Galaxy ,920.0,699.0,Note 20 256Go Mystic Gray 6 70 Double carte SIM 12Mpx,221.0,24.02
03.02.2021, HP, Spectre ,1618.0,1399.0,13 x360 1330 DHU Intel Core i7-1065G7 16Go 1000Go SSD,219.0,13.54
04.02.2021, Roccat, Vulcan,170.0,119.0, 121 AIMO CH Cable,51.0,30.0
05.02.2021,AVM,Set ,189.0,149.0,FRITZ!Mesh  FRITZ!Box 7530 + FRITZ!Repeater 1200 International,40.0,21.16
06.02.2021,Manfrotto,Element Travveller S,144.0,119.0,,25.0,17.36
07.02.2021,DXRacer,Gaming Desk mask 2,259.0,219.0,,40.0,15.44
08.02.2021,Lenovo,Yoga,849.0,699.0,,150.0,17.67
10.02.2021,Devolo,Kit,255.0,189.0,,66.0,25.88
11.02.2021,Suunto,9,728.0,499.0,,229.0,31.46
12.02.2021,SteelSerie,Aerox,99.7,79.0,,20.7,20.76
13.02.2021,BlueLounge,CableBox,43.8,29.0,,14.8,33.79
14.02.2021, Belkin, Chargeur sans fil 3,120.0,98.0,,22.0,18.33
15.02.2021,Samsung,QE65Q90T,1724.0,1399.0,,325.0,18.85
16.02.2021,Acer, Nitro,1199.0,999.0,,200.0,16.68
17.02.2021,Sandisk,Extreme 128go,39.0,29.0,,10.0,25.64
18.02.2021,Adobe,Creative,149.0,99.0,,50.0,33.56
19.02.2021,Rexel,Destructe,147.0,99.0,,48.0,32.65
20.02.2021,Lenovo,horloge,108.0,69.0,,39.0,36.11
21.02.2021,Netgear,Hotspot,355.0,299.0,,56.0,15.77
22.02.2021,Samsung,Galaxy S20 FE 5G 128Go,692.0,579.0,,113.0,16.33
23.02.2021,Arlo,Ultra,1046.0,899.0,,147.0,14.05
24.02.2021,Acer,RT240Y,166.0,109.0,,57.0,34.34
25.02.2021,Corsair,K100,270.0,219.0,,51.0,18.89
26.02.2021,Dell,OptiPlex,769.0,499.0,,270.0,35.11
27.02.2021,Aukey,USB,39.0,24.0,,15.0,38.46
28.02.2021,Microsoft,Flight,129.0,99.0,,30.0,23.26
01.03.2021,Samsung,Galaxy,1126.0,819.0,,307.0,27.26
02.03.2021,Huawei, MateBook X Pro,1299.0,999.0,,300.0,23.09
03.03.2021,Tp-Link,Archer,130.0,99.0,,31.0,23.85
04.03.2021,Acer,Aspire,699.0,499.0,,200.0,28.61
05.03.2021,Aukey,PB,64.0,39.0,,25.0,39.06
06.03.2021,Kodak,Smartphone,113.0,89.0,,24.0,21.24
07.03.2021,Netgear,Prolongateur,168.0,119.0,,49.0,29.17
08.03.2021,Dell,XPS,1799.0,1499.0,,300.0,16.68
09.03.2021,LaCie,Rugged,162.0,139.0,,23.0,14.2
10.03.2021,Epos,GSP,209.0,129.0,,80.0,38.28
11.03.2021,Canon,EOS,1027.0,845.0,,182.0,17.72
12.03.2021,Samsung,Evo,46.5,36.0,,10.5,22.58
13.03.2021,Lenovo,Tab,129.0,95.0,,34.0,26.36
14.03.2021,IT,Dusters,78.4,50.0,,28.4,36.22
15.03.2021,Samsung,QE,2889.0,2399.0,,490.0,16.96
16.03.2021,Dell,U2719D,389.0,299.0,,90.0,23.14
17.03.2021, Suunto, 9,581.0,439.0,,142.0,24.44
18.03.2021,ASUS,VivoBook,799.0,599.0,,200.0,25.03
19.03.2021,Arlo,Pro,699.0,489.0,,210.0,30.04
20.03.2021,NewStar,Poste,193.0,129.0,,64.0,33.16
21.03.2021,Elecjet,PowerPie,67.0,45.0,,22.0,32.84
22.03.2021,Logitech,Ergonomic,199.0,149.0,,50.0,25.13
23.03.2021, HP, ENVY,82.2,69.0,,13.2,16.06
24.03.2021,HP,ProDesk,849.0,499.0,,350.0,41.22
25.03.2021,mophie,Station,99.0,79.0,,20.0,20.2
26.03.2021,ASUS,ROG,201.0,169.0,,32.0,15.92
27.03.2021,Canon,PIXMA,301.0,249.0,,52.0,17.28
28.03.2021,Olympus,Le,388.0,325.0,,63.0,16.24
29.03.2021,HP,ProBook,1099.0,799.0,,300.0,27.3
31.03.2021,Lenovo,V50s,649.0,399.0,,250.0,38.52
01.04.2021,SumUp,Lecteur,111.0,89.0,,22.0,19.82
02.04.2021,Anda,seaT,399.0,299.0,,100.0,25.06
04.04.2021,Powertraveller,Chargeur,183.0,129.0,,54.0,29.51
05.04.2021,Canon,EOS,1020.0,829.0,,191.0,18.73
06.04.2021,Lenovo,IdeaCentre,899.0,599.0,,300.0,33.37
07.04.2021,Aftershokz,Opencomm,199.0,139.0,,60.0,30.15
08.04.2021,BASUS,PB278QV,299.0,199.0,,100.0,33.44
09.04.2021,PNY,Pro,92.2,63.0,,29.2,31.67
10.04.2021,Netgear,RAX70,289.0,239.0,,50.0,17.3
11.04.2021,Anda,seaT,399.0,299.0,,100.0,25.06
12.04.2021,ASUS,ROG,162.0,99.0,,63.0,38.89
13.04.2021,Philips,498P9,969.0,699.0,,270.0,27.86
14.04.2021, Razer, Naga,103.0,69.0,,34.0,33.01
15.04.2021, Norton, 360,33.9,20.0,,13.9,41.0
16.04.2021, Samsung, USB,59.8,36.0,,23.8,39.8
17.04.2021, Klipsh, R-620F,618.0,449.0,,169.0,27.35
18.04.2021, Bosign, Boite,39.3,27.0,,12.3,31.3
19.04.2021, Energizer, Maxirecharge,30.0,30.0,,0.0,0.0
20.04.2021,Brother,Scanner,459.0,379.0,,80.0,17.43
21.04.2021,Thule,Crossover,97.3,59.0,,38.3,39.36
22.04.2021,ASUS,C3,79.0,49.0,,30.0,37.97
