date,brand,name_product,old_price,new_price,detail
03.08.2020,Dji ,Osmo , 348 , 269,Pocket kit Etui de recharge  60p  4K
04.08.2020,AO , CU34G2BK,509,399,nan
05.08.2020,Medion ,Erazer ,1199, 999,Engineer P10 MD34799  Intel Core i5-10400F  16Go  512Go  1To  SSD  HDD
06.08.2020,XQISIT ,Chargeur ,64, 39,de secours premium  20000mAh  18W
07.08.2020,Acer ,Aspire ,599, 479,3  A315-56-59WP  15 60  Full HD  Intel Core i5-1035G1  8Go  256Go  SSD 
08.08.2020, Xtorm, Set , 163, 119,de chargeurs de secours XB303 Voyager & XB300 Hubble (26000mAh 60W)
09.08.2020,Toshiba ,Canvio  ,99, 79 ,Basics  4To
10.08.2020,Samsung , QE55Q60T,  949, 679, (55 4K QLED 2020)
11.08.2020, Logitech, MX, 109, 79,Master 3 (Sans fil)
12.08.2020, Lenovo, Legion , 1699, 1399,T5 28IMB05 (Intel Core i7-10700 16Go 512GO 1To SSD HDD)
13.08.2020,Energizer ,Lot ,  59.7, 34 ,Max Alkaline 40 AA + 20 AAA  60pcs  AA / LR6 / Mignon  AAA / LR03 / Micro
14.08.2020,Dell ,PowerEdge  ,429, 359,T40  Intel Xeon E-2244G  64Go
15.08.2020,L33T ,Elite ,245, 189, V3
16.08.2020,Aukey ,Powerbank  ,90 , 69 ,PB-XD26  26800mAh  45W
17.08.2020,OnePlus ,7T ,729, 599,Pro  8 Go   256Go  Haze blue  6 67  Double carte SIM  48Mpx  4G
18.08.2020,Samsung ,LU28R550UQUXES ,259, 259,28  3840 x 2160 pixels
19.08.2020,Arlo ,Pro ,940, 769,3 VMS4440B Lot de 4  2560 x 1440 pixels  QHD / WQHD 
20.08.2020,Lenovo ,ThinkCentre ,1399, 699,M920t  Intel Core i5-9400  16Go  512Go  SSD
21.08.2020,ASUS,VivoBook ,699, 529,15 X512JA-EJ284T  15 60  Full HD  Intel Core i5-1035G1  8Go  512Go  SSD
22.08.2020,Pure ,Radio-reveil,149, 119,DAB Siesta avec fonction de charge sans fil
23.08.2020,UE ,Double ,115, 69 ,enceinte Wonderboom  Noir  Subzero Blue  10h
24.08.2020,Microsoft ,365 Famille ,82, 65 ,12 Mt   6x  Android  iOS  Windows  Mac OS X  Windows Mobile  Allemand  Français  Italien
25.08.2020, Dell, U3419W ,861, 729,34  3440 x 1440 Pixels
26.08.2020, Logitec, G, 155, 99,G910 Orion Spectrum
27.08.2020,Suunto ,9 Baro ,728, 499,Titanium Edition Ambassador + bracelet silicone  50mm  Polyamide
28.08.2020,Leitz ,IQ ,96, 79,Home Office  Coupe
29.08.2020,SKROSS ,Set ,89, 55,complet  Multi  USB  Multi
30.08.2020,Netgear ,MK62,269, 219,Nighthawk Mesh WiFi 6 System 2er Set
31.08.2020,LG ,HU80KSW ,2499, 1799,Presto  4K  2500lm  4 k lasers  30dB
01.09.2020,Medion ,Erazer ,1499, 1199,Engineer X10 MD34821  Intel Core i7-10700F  16Go  512Go  SSD
02.09.2020,Philips , Moniteur,  579, 399,B-line 345B1C + casque TAPH802
03.09.2020,PNY ,Pro ,34 , 20,Elite microSDXC  microSD  128Go  U3  UHS-I 
04.09.2020,Lexmark ,MC2425adw  ,310, 249,WiFi  Laser/LED  Couleur  Impression recto verso
05.09.2020,Elecjet ,PowerPie ,79, 59 ,P20 Powerbank  20000mAh  45W
06.09.2020,Netatmo ,NWS01-EC,162, 119,nan
07.09.2020,HP ,250 ,799, 549,G7  15 60  Full HD  Intel Core i7-8565U  8Go  256Go  SSD
08.09.2020,Lenovo ,ThinkCentre ,1199, 799,M920q Tiny  Intel Core i5-9400T  16Go  512Go  SSD
09.09.2020, UE, Boom, 109, 69,2 Kool Savas Limited Edition
10.09.2020,Dell ,Server ,749, 599,PowerEdge T140  Intel Xeon E-2124  8Go
11.09.2020,Desinfect, pro, 79 , 59,Set Desinfektion + Screen Shine  100x 
12.09.2020,marantz ,SR7013  ,1399, 999,9 2 canaux  FM  AM
13.09.2020,Microsoft ,Xbox,34 , 29,Game Pass Ultimate 3 mois
14.09.2020,ASUS ,GeForce ,630, 499,RTX 2070S ROG Strix A8G Gaming  8Go 
15.09.2020,Acer ,Aspire ,519, 399,3 A315-23-R8MQ  15 60  Full HD  AMD Ryzen 5 3500U  8Go  512Go  SSD
16.09.2020,ASUS ,RT-AX88U,329, 259,Gaming
17.09.2020,Philips , Ligne,  169, 129,B 241B8QJEB
18.09.2020,digitec, connect ,300, 180,Abonnement mobile 12 mois de frais de base
19.09.2020,JBL ,Casque ,85, 49,sans fil LIVE 400BT  Noir
20.09.2020,Acer ,Aspire ,799, 449,XC-886  Intel Core i5-9400  8Go  512Go  1To  SSD  HDD 
21.09.2020,Lenovo ,ThinkPad ,999, 789,E15  15 60  Full HD  Intel Core i7-10510U  16Go  256Go  SSD
22.09.2020,Microsoft ,365 ,82, 65,Famille  12 Mt   6x  Android  iOS  Windows  Mac OS X  Windows Mobile  Allemand  Francais  Italien
23.09.2020, Acer, RT240Y, 165, 99,nan
24.09.2020,Klipsch ,R-28F , 648 , 399,1 paire  Placage en poly noir 
25.09.2020,Anda, seaT ,289, 209,Dark Demon Black
26.09.2020,Lenovo ,horloge,109, 75 , intelligente
27.09.2020,Lenovo ,ThinkCentre ,899, 649,V530S-07ICR  Intel Core i5-9400  16Go  512Go  SSD
28.09.2020, Sony, WH-1000XM3, 248, 179,nan
29.09.2020, Samsung, Onglet, 590, 499,Galaxie S6
30.09.2020,ASUS ,ZenBook  ,959, 759,14 UM431DA-AM067T  14  Full HD  AMD Ryzen 7 3700U  8Go  1000Go  SSD
01.10.2020,Sony ,Kit ,999, 799,Alpha 6400  16-50mm  24 20Mpx  APS-C DX
02.10.2020,SumUp ,Air ,101, 79,Bundle  Scanner USB  Kit de support 
03.10.2020,Devolo ,Recepteur,89 , 74,ac 
04.10.2020,Philips ,Wake ,149, 99,up Light Relax Breath HF3651 01 
05.10.2020, Dell, U2719D, 374, 299,nan
06.10.2020, Lenovo, V15, 599, 449,15.60 Full HD Intel Core i5 8265U 8Go 256Go SSD
07.10.2020, Dji, Osmo, 269, 199,Action 60p 4k
08.10.2020, HP, 477dw, 467, 309,PageWide Pro
09.10.2020,Varta,LCD ,50.90 , 35,Plug Charger+ incl  4x AA & 4x AAA  Piles rechargeables + chargeur  8pcs  AA  AAA  1000mAh
10.10.2020,Tp-Link,Archer , 99, 25 ,MR600
11.10.2020,HP,PC ,799, 499,ProDesk 600 G5 SFF  Intel Core i5 9500  8Go  256Go  SSD
12.10.2020,OnePlus,8,899, 799, Pro  8 Go   128Go  Onyx Black  6 78  Double carte SIM  48Mpx  5G
13.10.2020,Samsung,A+,199, 139,nan
14.10.2020,Aukey,Powerbank,64, 35,PB XD13  20000mAh  18W
15.10.2020,Epson,ET ,289, 219,L5190 EcoTank  WiFi  Reservoir d encre  Couleur
16.10.2020,Aukey,Webcam,89, 59,Pro 1080 w ClipOn base
17.10.2020,BlueLounge,CableBox ,43.90, 29,Large  39 80cm
18.10.2020,Xtorm,Chargeur , 145, 88,solaire 10'000mAh 21W
19.10.2020,BenQ, type,169, 129, A
20.10.2020,Samsung,Galaxy ,749, 549,Note 10  256Go  Aura Glow  6 30  Double carte SIM  16Mpx  4G
21.10.2020,Acer,Predator, 1699, 1399,Orion 3000 PO3 620  Intel Core i7 10700  16Go  512Go  1To  SSD  HDD
22.10.2020,LaCie,USB ,174, 139,C robuste  5To
23.10.2020,Sony,Cyber ,499, 379,shot DSC RX100 III  24 70mm  20 10Mpx  1
24.10.2020,Google,Nid,201, 169,de routeur WiFi
25.10.2020,Samsung, Evo, 86.10, 79,microSDXC 512GB U3 UHS-I
26.10.2020,HP,EliteBook ,949, 699,830 G6  13 30  Full HD  Intel Core i5 8265U  16Go  256Go  SSD
27.10.2020,Microsoft,office,61,49,365
28.10.2020,Ubiquiti,UniFi ,379,329,UAP-AC-Lite-5 - 5er-Set
29.10.2020, Jabra, Evolve, 265, 189, UC Duo 75
30.10.2020,Nikon,Z,1663, 1449,5 Kit
01.11.2020,Hama, Universal, 99.90, 60, Power Pack Powerbank 26800mAh 60W9
02.11.2020, HP, Envy13 , 1259, 959,13.30 full hd i7-10510U 16go 512 ssd
03.11.2020, Lenovo, ThinkCentre , 999, 699,m920t i-5-9400 16 go 512 ssd
04.11.2020, Denver, Frameo , 90.60,69,PFF-1010
05.11.2020,Synology, DS420, 509, 429,nan
06.11.2020,Netgear, Set , 587,419,Wifi mesh RBK53S Orbi Armor
07.11.2020,Joby,Influencer,179,129, Social Media Premium Vlogging Starter Kit
08.11.2020,Philips,Hue ,141,119,Being Basic BT
09.11.2020,AOC,G12VXA, 189, 129,24 inch
10.11.2020,Brother,P Touch ,102,79,Cube Plus (180dpi)
12.11.2020,Lexmar,MC2535adwe ,457,319,WiFi LaserLED Couleur Impression recto verso
13.11.2020,Alpine, EZI-DAB, 145, 99,BT
14.11.2020, Urbanista, London, 149, 99,nan
15.11.2020,OtterB,Batterie ,89,44,de secours exterieure + LifeProof cable A-C USB /Lanyard 04m 20000mAh 24W
16.11.2020, ASUS,ROG, 1799, 1349,G15CK-CH006T Intel Core i7 10700KF 16Go 1000Go 1To SSD HDD
17.11.2020, Samsung,Galaxy , 643, 359,Note 10 Lite 128Go aura rouge 6.70 Double carte SIM 12Mpx 4G
18.11.2020, GoPro, Max , 454, 379,60p full hd
19.11.2020, Acer, Aspire , 599, 449,3  A3155659WP 15 60 Full HD Intel Core i5 1035G1 8Go 256Go SSD
20.11.2020,Ring,camera ,265,199,de projecteurs (1920 x 1080 pixels (Full HD))
21.11.2020,Zendure,SuperPort,99,79, 4 Charger 2x USB-C & 2x USB-A (100W Power Delivery)
22.11.2020,Teufel,Airy,159,119,nan
23.11.2020,Sandis,Extreme ,409,299,Pro Type B (CFexpress type B 256Go)
24.11.2020,Belkin ,boitier ,79,54,de desinfection UV avec recharche sans fil (10W)
25.11.2020,Samsung,Galaxy ,762,599,S10+ 128Go Silver 640 Double SIM hybride 16Mpx 4G
26.11.2020,Reolink,Argus ,385,279,PT GO avec panneau solaire et memoire de 16 Go 1920 x 1080 pixels
28.11.2020,Panasonic, TX-55hzc2004,2399,1999,nan
29.11.2020,Acer,Nitro ,1699,1199,5 AN5155571US 1560 Full HD i7 10750H 16Go 1000Go SSD
01.12.2020, Ultimaker, 3, 3784, 2899,nan
02.12.2020, Bose, Headphones, 349, 249,700
03.12.2020,Xiaomi,Mi , 1499, 1199,Laser 150
04.12.2020,Microsoft, Surface , 1094, 899,Pro7 12 Core i5 10354G4
05.12.2020, tolino,  vision , 258, 189,5  housse Origami  carte cadeau de 30 CHF
06.12.2020, HP, Sprocket, 133, 89,Select
07.12.2020, 4smarts, Powerbank , 159, 89,VoltHub Graphene 100W 20000mAh 160W
08.12.2020, Raspberry, Pi, 139, 99,Kit Basic 4 8G HDMI  SD 16 Go incl
09.12.2020, Logitech, G , 159, 89,G910 Orion Spectrum
10.12.2020, Seagate, Backup, 118, 99,Plus Portable Drive
11.12.2020, Asus, ZenBook, 1199, 999, Flip 14
12.12.2020, JBL, Boombox, 319, 249,nan
13.12.2020, Apple, Magic, 448, 359,Keyboard
14.12.2020, LG, OLED55BX, 999, 899,55 4k 2020
15.12.2020, Samsung, Galaxy, 879, 679,S20 5g 128go white 6 20
16.12.2020, Oculus, Rift, 549, 379,S
17.12.2020, Microsoft, 365, 159.80, 119,Family fur 24 mois
18.12.2020, AOC, C27G2U, 269, 199, full hd
19.12.2020, Lenovo, Ideapad , 799, 579,IdeaPad S145-15IIL
20.12.2020, Philips, Hue , 78.60, 69,e27 2x
21.12.2020, Arlo, Ultra , 1149, 919,VMS5440 set de 4
22.12.2020, Sony, Xperia, 1099, 899,1 II 256go 6 50
23.12.2020, Joule, Force, 1799, 1399, Nuke RTX2070S II7 i7 10700f 16go 1000go ssd
24.12.2020, digitec, connect, 300, 180, abonnement mobile
25.12.2020,Tp-Link,Archer,128,99,MR400
26.12.2020,Ringc,Video ,229,149,Doorbell 3 (WiFi)
27.12.2020, Energizer, Max, 59.70, 33, Alkaline set 40 AA + 20 AAA
28.12.2020, LG, OLED55GX6 , 1699, 1499,55 4K OLED 2020
29.12.2020, Arlo, Pro , 1086, 849,3 4er-Set + Video Doorbell
30.12.2020, Logitech, Craft, 153, 99,nan
31.12.2020, Asus, Vivo, 949, 699,Aio V27uak-ba1127
01.01.2021, Lifix, set , 89, 89,3 ampoules
02.01.2021, Zendure, A8, 153, 99,SuperTank 27000mAh 100w
03.01.2021, Samsung, Odyssey , 1519, 1099,G9 LC49G95TSSUXEN 49 5120 x 1440 pixels
12.01.2021, Samsung, Galaxy , 1121, 849,S20 Ultra 5G
13.01.2021, Onyx, Boox , 779, 679,Max3 13 3 pouces 64go
14.01.2021, Xtorm, SolarBooster , 194, 129,21W + Outdoor Powerbank 10000 mAh
15.01.2021, Nuki, Barillet , 299, 239,Smart Lock 2.0 CH + Keypad
16.01.2021, Urbanista, London, 130, 89,nan
17.01.2021, Acer, Nitro , 219, 149,QG271bii 27 1920 x 1080 pixels
18.01.2021, Apple, MacBook , 1110, 999,Air 2020 i5 16go 256ssd
19.01.2021, Samsung, 860, 519, 419, Evo Basic 4000go
20.01.2021, Samsung, Powerbank,  79.90, 49,EB-P5300XJ avec cable USB C-C
21.01.2021, TI, Nspire, 152, 119,CX II-T CAS
22.01.2021, Jabra, Evolve , 221, 159,75 UC Duo (Sans fil)
23.01.2021, ASUS, ROG, 124, 99,STRIX B450-F GAMING II
24.01.2021, ASUS, ROG, 2199, 1699,Zephyrus G14 GA401IV-HA168T 14 QHD AMD Ryzen 9 4900HS 16Go 1000Go SSD
25.01.2021, Nokia, 8.3, 683.50, 499,avec Power Earbuds BH-605 128Go Polar Night 6.81 Double SIM hybride 64Mpx 5G
26.01.2021, Samsung, T5 , 122, 99,portable (1000Go)
27.01.2021, Aukey, PA-T14 , 40.80, 29,chargeur 42w
28.01.2021, Brother, ADS-2700W, 329, 259,nan
29.01.2021, Jabra, Speak , 99, 79,4
30.01.2021, Bosign, Boite , 56, 40,a cable XL Hideaway
31.01.2021, tolino, Shine, 145, 109,nan
01.02.2021, digitec, connect, 300, 180,Bon abo mobile pour 12 mois de frais de base
02.02.2021, Samsung, Galaxy , 920, 699,Note 20 256Go Mystic Gray 6 70 Double carte SIM 12Mpx
03.02.2021, HP, Spectre , 1618, 1399,13 x360 1330 DHU Intel Core i7-1065G7 16Go 1000Go SSD
04.02.2021, Roccat, Vulcan, 170, 119, 121 AIMO CH Cable
05.02.2021,AVM,Set ,189,149,FRITZ!Mesh  FRITZ!Box 7530 + FRITZ!Repeater 1200 International
06.02.2021,Manfrotto,Element Travveller S,144,119,nan
07.02.2021,DXRacer,Gaming Desk mask 2,259,219,nan
08.02.2021,Lenovo,Yoga,849,699,nan
10.02.2021,Devolo,Kit,255,189,nan
11.02.2021,Suunto,9,728,499,nan
12.02.2021,SteelSerie,Aerox,99.70,79,nan
13.02.2021,BlueLounge,CableBox,43.80,29,nan
14.02.2021, Belkin, Chargeur sans fil 3, 120, 98,nan
15.02.2021,Samsung,QE65Q90T,1724,1399,nan
16.02.2021,Acer, Nitro, 1199,999,nan
17.02.2021,Sandisk,Extreme 128go,39,29,nan
18.02.2021,Adobe,Creative,149,99,nan
19.02.2021,Rexel,Destructe,147,99,nan
20.02.2021,Lenovo,horloge,108,69,nan
21.02.2021,Netgear,Hotspot,355,299,nan
22.02.2021,Samsung,Galaxy S20 FE 5G 128Go, 692,579,nan
23.02.2021,Arlo,Ultra,1046,899,nan
24.02.2021,Acer,RT240Y,166,109,nan
25.02.2021,Corsair,K100,270,219,nan
26.02.2021,Dell,OptiPlex,769,499,nan
27.02.2021,Aukey,USB,39,24,nan
28.02.2021,Microsoft,Flight,129,99,nan
01.03.2021,Samsung,Galaxy,1126,819,nan
02.03.2021,Huawei, MateBook X Pro,1299, 999,nan
03.03.2021,Tp-Link,Archer,130,99,nan
04.03.2021,Acer,Aspire,699,499,nan
05.03.2021,Aukey,PB,64,39,nan
06.03.2021,Kodak,Smartphone,113,89,nan
07.03.2021,Netgear,Prolongateur,168,119,nan
08.03.2021,Dell,XPS,1799,1499,nan
09.03.2021,LaCie,Rugged,162,139,nan
10.03.2021,Epos,GSP,209,129,nan
11.03.2021,Canon,EOS,1027,845,nan
12.03.2021,Samsung,Evo,46.50,36,nan
13.03.2021,Lenovo,Tab,129,95,nan
14.03.2021,IT,Dusters,78.40,50,nan
15.03.2021,Samsung,QE,2889,2399,nan
16.03.2021,Dell,U2719D,389,299,nan
17.03.2021, Suunto, 9, 581, 439,nan
18.03.2021,ASUS,VivoBook, 799, 599,nan
19.03.2021,Arlo,Pro,699,489,nan
20.03.2021,NewStar,Poste,193,129,nan
21.03.2021,Elecjet,PowerPie,67,45,nan
22.03.2021,Logitech,Ergonomic,199,149,nan
23.03.2021, HP, ENVY, 82.20, 69,nan
24.03.2021,HP,ProDesk,849,499,nan
25.03.2021,mophie,Station,99,79,nan
26.03.2021,ASUS,ROG,201,169,nan
27.03.2021,Canon,PIXMA,301,249,nan
28.03.2021,Olympus,Le,388,325,nan
29.03.2021,HP,ProBook,1099,799,nan
31.03.2021,Lenovo,V50s,649,399,nan
01.04.2021,SumUp,Lecteur,111,89,nan
02.04.2021,Anda,seaT,399,299,nan
04.04.2021,Powertraveller,Chargeur,183,129,nan
05.04.2021,Canon,EOS,1020,829,nan
06.04.2021,Lenovo,IdeaCentre,899,599,nan
07.04.2021,Aftershokz,Opencomm,199,139,nan
08.04.2021,BASUS,PB278QV,299,199,nan
09.04.2021,PNY,Pro, 92.20,63,nan
10.04.2021,Netgear,RAX70,289,239,nan
11.04.2021,Anda,seaT,399,299,nan
12.04.2021,ASUS,ROG,162,99,nan
13.04.2021,Philips,498P9,969,699,nan
14.04.2021, Razer, Naga, 103, 69,nan
15.04.2021, Norton, 360, 33.90, 20,nan
16.04.2021, Samsung, USB, 59.80, 36,nan
17.04.2021, Klipsh, R-620F, 618, 449,nan
18.04.2021, Bosign, Boite, 39.30, 27,nan
19.04.2021, Energizer, Maxirecharge, 30, 30,nan
20.04.2021,Brother,Scanner,459,379,nan
21.04.2021,Thule,Crossover,97.30,59,nan
22.04.2021,ASUS,C3,79,49,nan
23.04.2021, Brother, Mobile, 546, 399,nan
24.04.2021,Lian,Li,175,149,nan
25.04.2021,Meural,MC,369,284,nan
26.04.2021,LG,HU,2159,1699,nan
27.04.2021,SteelSeries,Arctis,329,269,nan
28.04.2021,Nuki,Barillet,309,239,nan
29.04.2021,Adobe,Creative,149,99,nan
30.04.2021,Xtorm,XB,159,129,nan
01.05.2021,Samsung,HW,249,199,nan
02.05.2021,NewStar,FPMA,125,99,nan
03.05.2021,Samsung,Odyssey,573,399,nan
04.05.2021,Dell,Vostro,999.99,729,nan
05.05.2021,Sony,Alpha,1628,1199,nan
06.05.2021,Formuler,Z8,142,113,nan
07.05.2021,Apple,iPhone,765,699,nan
08.05.2021,Corsair,HS,199,139,nan
09.05.2021,Arozzi,Arena,357,289,nan
10.05.2021,digitec,connect,300,180,nan
11.05.2021,Samsung,Galaxy,669,549,nan
12.05.2021,Acer,Swift,899,749,nan
13.05.2021,Sandisk,ExtremePro,204,149,nan
14.05.2021,Ergotron,Bras,151,119,nan
15.05.2021,Sandisk,Ultra,88,63,nan
16.05.2021,One,for,210,169,nan
17.05.2021,Apple,MacBook,1499,1349,nan
18.05.2021,Jabra,Elite,95.70,69,nan
19.05.2021,Lenovo,ThinkPad,1789,1499,nan
20.05.2021,Collective, Minds, 80.80, 59.90,nan
21.05.2021,Brother,QL,185,139,nan
22.05.2021,Netatmo,Detecteur,379,249,nan
23.05.2021,Dell,Latitu,939,599,nan
24.05.2021,Sony,KE,1099,749,nan
25.05.2021,EAOC,27G2AE,285,179,nan
26.05.2021,Lenovo,Tab,599,499,nan
27.05.2021,Creality,CR,453,379,nan
28.05.2021,Acer,K272HLE,179,99,nan
29.05.2021,Logitech,G,199,169,nan
30.05.2021,Devolo,Kit,299,219,nan
31.05.2021,Logitech,MX,95,69,nan
01.06.2021,Apple,Watch,415,365,nan
02.06.2021,Xgimi,Projecteur,666,549,nan
03.06.2021,Xiaomi,Mi,335,269,nan
04.06.2021,Panasonic, Set, 40.20, 29,nan
05.06.2021,Astro,Gaming,319,219,nan
06.06.2021,OPPO,Watch,246,199,nan
07.06.2021,ASUS,VivoBook,999,799,nan
08.06.2021,Sony,Cyber,1199,949,nan
09.06.2021,ASUS,Zenfone,769,669,nan
10.06.2021,Urbanista,Stockholm,62.30,44,nan
11.06.2021,Netgear,Systeme,299,239,nan
12.06.2021,Xqisit,Powerbank,89,59,nan
14.06.2021,Apple,iPad,589,529,nan
15.06.2021,Samsung,T7,88,59.50,nan
17.06.2021,Philips,Hue,120,99,nan
18.06.2021,B&O,BeoPlay,299,288 ,nan
19.06.2021,Zoom,Audiorecorder,148,119,nan
20.06.2021,Netgear,Hotspot,349,299,nan
21.06.2021,ASUS,VP,274,199,nan
22.06.2021,Samsung,Evo,79,59,nan
23.06.2021,Dji,Gimbal,123,75,nan
24.06.2021,Samsung,SmartTag,49.90,39,nan
25.06.2021,Norton,Premium,55,29,nan
26.06.2021,Aukey,Omnia,64,49,nan
27.06.2021,tolino,Shine,168.90,134,nan
28.06.2021,AOC,C24G2U,249,149,nan
29.06.2021,Jabra,Evolve,157,129,nan
01.07.2021,Bowers,Wilkins,302,229,nan
02.07.2021,Philips,Hue,82.40,64,nan
03.07.2021,Razer,BlackWidow,159,119,nan
04.07.2021,Suunto,Titanium,499,349,nan
06.07.2021,Dell,Vostro,999,729,nan
07.07.2021,Crucial,X6,509,379,nan
08.07.2021,Rexel,Déchiqueteuse,254,199,nan
09.07.2021,Philips,Somneo,209,159,nan
10.07.2021,Nuki,Essential,259,199,nan
11.07.2021,Corsair,K100,259,199,nan
12.07.2021,Samsung,QE,640,499,nan
13.07.2021,Bose,SoundSport,142,89,nan
14.07.2021,Joule,Performance,415,299,nan
15.07.2021,Joule,Performance,3999,3399,nan
16.07.2021,Arlo,Set,741,499,nan
17.07.2021,Canon,Boitier,1059,789,nan
18.07.2021,Energizer,Set,39.80,29,nan
19.07.2021,Samsung,U28E590D,289,199,nan
20.07.2021,Adobe,Creative,149,99,nan
21.07.2021,Crucial,Ballistix,97,69,nan
22.07.2021,IT,Dusters,78.40,50,nan
23.07.2021,ASUS,ZenWiFi,419,329,nan
24.07.2021,Tile,Essentials,79,55,nan
25.07.2021,Sony,WF,133,89,nan
27.07.2021,Acer,Swift,549,429,nan
28.07.2021,DXRacer,Drifting,357,229,nan
29.07.2021,Devolo,Kit,299,219,nan
30.07.2021,Sony,Cyber,419,319,nan
31.07.2021,Xtorm,Chargeur,45.60,35,nan
04.08.2021,Sandisk,Extreme,58.70,44,nan
05.08.2021,Desinfect,pro,243,199,nan
06.08.2021,Netgear,Nighthawk,279,199,nan
07.08.2021,Canon,Imprimante,115,89,nan
08.08.2021,Sony,h,195,139,nan
09.08.2021,Apple,iPhone,1019,849,nan
10.08.2021,Acer,Nitro,285,179,nan
11.08.2021,Apple,MacBook,1649,1299,nan
12.08.2021,ASUS,ROG,275,229,nan
13.08.2021,Sony,Kit,1049,777,nan
14.08.2021,Brother,MFC,327,259,nan
15.08.2021,BlueLounge,CableBox,41.90,29,nan
16.08.2021,Captiva,R59,4699,3999,nan
17.08.2021,Panasonic,Kit,64.50,45,nan
18.08.2021,Microsoft,Office,149,74,nan
19.08.2021,Kingston,A2000,104,79,nan
20.08.2021,Razer,Basilic,169,119,nan
21.08.2021,Canon,EOS,1180,949,nan
22.08.2021,Linksys,Velop,456,249,nan
24.08.2021,ASUS,VivoBook,899,699,nan
25.08.2021,SumUp,Terminal,175,119,nan
26.08.2021,Acer,Nitro,1599,1299,nan
27.08.2021,Samsung,Evo,23,15,nan
28.08.2021,DXRacer,Gaming,323,219,nan
29.08.2021,Devolo,Répétiteur,87,65,nan
31.08.2021,Logitech,G,263,219,nan
01.09.2021,Sandisk,Ultra,175,119,nan
